eat_pref,salt_sweet,costco,fav_meal,books_per_year,music_per_day,age,fav_color,bible_offer,trick_or_treat_cutoff,states_lived,rock_collect,fav_dining,work_per_week,exercise_per_week,car,rainy_days,why_class,born_state,fav_band,states_visited,meals_per_week_campus,sibling,first_gen,countries_visited,pets_num,fav_movie_growing_up,god,caffiene_drink_per_week,credits,diet,ski_snowboard,rock_climbing,mt_biking,cat_or_dog,ice_cream,breakfast_days_per_week,ai_opinion,fav_season,major
No preference,Salty,around once a year,No preference,3,10,20,Blue,8,19,1,Yes,Subway,0,5,No,No,Prerequisite,Washington,,5,20,1,No,1,2,,No,0,13,None of the above,No,No,No,Cats,vanilla,7,somewhat negative,Fall,Kinesiology
Order in,Salty,around once a month,Breakfast,48,4,22,Blue,3,14,1,No,Freshens,48,5,Yes,Yes,Prerequisite,WA,KISS,8,3,1,No,1,11,Baby Driver,No,6,15,None of the above,"Yes, but once or only a few times","Yes, but once or only a few times",No,No preference,no preference,7,very negative,Fall,Political Science
Order in,Sweet,around once a year,Dinner,70,7,21,Purple,2,12,1,No,Subway,0,0,No,Somewhat,Major,Washington,Noah Kahan,7,10,1,No,3,1,Totoro,No,2,13,"Vegetarian (no meat, dairy allowed)",No,No,No,No preference,vanilla,5,very negative,Fall,Math
Eat out,No preference,around once a month,No preference,0,1,29,Plato green,2,15,3,Yes,None,0,0,Yes,Yes,Prerequisite,CA,"Too many (Depeche Mode, Thievery Corporation, Mark Lanegan)",5,1,3,No,1,0,The Nightmare Before Christmas ,No,7,12,None of the above,No,No,No,Cats,chocolate,7,somewhat negative,Fall,Environmental Geology BS
Order in,Salty,around once a month,Dinner,4,4,23,Red,10,17,1,Yes,Pod market soups ,24,2,Yes,Somewhat,Major,Washington,Elliott smith,4,2,1,Yes,1,1,Barbie mermaids ,No,10,8,None of the above,No,No,No,Cats,vanilla,5,somewhat negative,Fall,Geology 
Eat out,Salty,around once a month,Dinner,1,1,32,Green,0,12,3,No,Burrito King,0,4,Yes,Somewhat,Prerequisite,Washington,Batushka,12,0,3,No,14,3,Star Wars 6,No,10,8,None of the above,"Yes, but once or only a few times","Yes, but once or only a few times",No,Dogs,chocolate,5,very negative,Summer,Nursing
Order in,Salty,rarely/never,Breakfast,15,8,21,Green,6,12,1,Yes,Artzen atrium,20,5,Yes,Somewhat,Major,Washington,MJ lenderman,6,,,No,1,1,,No,10,18,None of the above,No,"Yes, but once or only a few times","Yes, but once or only a few times, No",Cats,chocolate,7,somewhat negative,Summer,Bio anth
Order in,Salty,around once a year,Breakfast,4,2,18,Green,2,15,1,No,Ridgeway,0,6,No,Somewhat,Prerequisite,Washington,Pavement ,6,17,2,,1,3,Wall E,,4,15,None of the above,"No, but want to learn",No,No,,chocolate,6,very negative,Spring,History
Order in,Sweet,around once a year,Dinner,4,0,18,purple,3,18,2,No,Ridgeway Commons,0,0,No,Somewhat,Major,California,Abba,15,12,2,No,6,0,Ratatouille,Don't know,3,18,None of the above,"Yes, but once or only a few times","Yes, but once or only a few times",No,Cats,vanilla,2,very negative,Fall,Speech Pathology
No preference,Salty,around once a month,Dinner,2,4,19,Green,2,18,1,Yes,Ridge commons,0,2,Yes,Somewhat,Prerequisite,Washington ,Role model,6,8,2,Yes,5,3,Lion king,Don't know,4,14,None of the above,"Yes, but once or only a few times",No,No,No preference,vanilla,1,neutral,Summer,Speech and hearing sciences
Eat out,Sweet,around once a week,Breakfast,1,5,21,Green,4,15,2,Yes,Zoe’s Bagels,10,5,Yes,Yes,Major,Washington,10cc,10,0,2,No,1,0,Sleeping Beauty,Don't know,9,16,None of the above,"Yes, but once or only a few times","Yes, but once or only a few times",No,No preference,chocolate,7,very negative,Spring,Speech Language and Hearing Sciences
Order in,Salty,around once a month,Lunch,3,19,19,turquoise,0,16,2,No,0,0,5,No,Yes,Prerequisite,Peru,Ariana Grande ,2,10,3,No,4,3,None ,Yes,5,14,None of the above,"No, but want to learn",No,No,Dogs,vanilla,4,neutral,Spring,Pre-nursing
Eat out,Salty,around once a week,Dinner,4,2,20,Orange,2,13,1,No,Fairhaven,0,11,No,Yes,Major,Wa,,26,0,1,No,20,0,,No,0,18,None of the above,"Yes, often","Yes, often",,Dogs,chocolate,0,somewhat positive,Winter,Public Health
Eat out,No preference,around once a year,Dinner,4,3,20,Red,4,13,2,Yes,Freshens,0,3,No,Somewhat,Major,California,Hall and Oates,27,5,1,No,10,1,The Lego Movie,No,2,13,None of the above,"Yes, but once or only a few times","Yes, but once or only a few times",No,Cats,chocolate,0,somewhat negative,Summer,Biochemistry
Order in,Salty,around once a year,Dinner,50,10,19,Green,3,12,1,Yes,None,0,2,No,Yes,Major,Washington,Stray Kids,27,0,1,No,1,0,Tangled,No,0,17,"Vegetarian (no meat, dairy allowed)",No,No,No,Cats,chocolate,5,very negative,Spring,Geology
Order in,Salty,around once a week,Breakfast,0,3,19,Blue,3,19,1,No,none,0,6,No,No,Major,Washington,no idea,10,0,3,No,2,4,ponyo,Don't know,0,14,None of the above,"No, but want to learn","No, but want to learn",No,No preference,vanilla,7,very positive,Summer,kinesiology 
No preference,No preference,more than once a week,Lunch,3,14,21,Green,10,17,1,No,None,24,8,Yes,Yes,Prerequisite,Russia,Slaughter to prevail,4,2,1,Yes,3,1,Planet 51,Yes,15,15,None of the above,"Yes, often",,,No preference,vanilla,1,somewhat negative,No favorite,Knisceology
