eat_pref,salt_sweet,costco,fav_meal,books_per_year,music_per_day,age,bible_offer,trick_or_treat_cutoff,states_lived,work_per_week,exercise_per_week,why_class,states_visited,meals_per_week_campus,sibling,countries_visited,pets_num,fav_movie_growing_up,god,caffiene_drink_per_week,credits,diet,ski_snowboard,rock_climbing,mt_biking,cat_or_dog,ice_cream,breakfast_days_per_week,born_state_c,born_region_c,fav_band_c,fav_color_c,fav_dining_c,fav_season_c,car_c,first_gen_c,rock_collect_c,rainy_days_c,ai_opinion_c,major_c,major_discipline_c
Order in,Salty,rarely/never,Dinner,0,3,19,3,13.0,1,30,4.0,Major,4.0,0.0,1.0,2,1,Cars,No,2.0,11,None of the above,No,No,No,Dogs,chocolate,7,Washington,West Coast,Anuel AA,Blue,,Summer,Yes,No,No,Dislike,Somewhat Positive,Business/Finance,Business
Eat out,No preference,around once a month,Dinner,1,2,19,6,11.0,1,0,8.0,Prerequisite,8.0,1.0,0.0,3,1,The parent trap,Don't know,9.0,14,None of the above,No,No,No,No preference,chocolate,7,Washington,West Coast,Billie Eilish,Blue,Ridgeway Commons,Summer,Yes,No,No,Dislike,Neutral,Kinesiology,Health Sciences
Order in,Salty,around once a month,Breakfast,40,3,20,3,15.0,1,20,4.0,Minor,10.0,2.0,1.0,1,1,Labyrinth ,Yes,10.0,17,None of the above,No,No,No,Dogs,chocolate,5,Washington,West Coast,Wolf Alice,Green,VU Coffee Shop,Fall,Yes,Yes,No,Like,Somewhat Negative,Environmental Studies,Physical Sciences
No preference,Salty,around once a year,No preference,3,10,20,8,19.0,1,0,5.0,Prerequisite,5.0,20.0,1.0,1,2,,No,0.0,13,None of the above,No,No,No,Cats,vanilla,7,Washington,West Coast,,Blue,Subway,Fall,No,No,Yes,Dislike,Somewhat Negative,Kinesiology,Health Sciences
Order in,Salty,around once a month,Breakfast,48,4,22,3,14.0,1,48,5.0,Prerequisite,8.0,3.0,1.0,1,11,Baby Driver,No,6.0,15,None of the above,"Yes, but once or only a few times","Yes, but once or only a few times",No,No preference,no preference,7,Washington,West Coast,KISS,Blue,Freshens,Fall,Yes,No,No,Like,Very Negative,Political Science,Social Sciences
Order in,Sweet,around once a year,Dinner,70,7,21,2,12.0,1,0,0.0,Major,7.0,10.0,1.0,3,1,Totoro,No,2.0,13,"Vegetarian (no meat, dairy allowed)",No,No,No,No preference,vanilla,5,Washington,West Coast,Noah Kahan,Purple,Subway,Fall,No,No,No,Neutral,Very Negative,Mathematics,Mathematics
Eat out,No preference,around once a month,No preference,0,1,29,2,15.0,3,0,0.0,Prerequisite,5.0,1.0,3.0,1,0,The Nightmare Before Christmas ,No,7.0,12,None of the above,No,No,No,Cats,chocolate,7,California,West Coast,"Too many (Depeche Mode, Thievery Corporation, Mark Lanegan)",Green,,Fall,Yes,No,Yes,Like,Somewhat Negative,Geology,Physical Sciences
Order in,Salty,around once a month,Dinner,4,4,23,10,17.0,1,24,2.0,Major,4.0,2.0,1.0,1,1,Barbie mermaids ,No,10.0,8,None of the above,No,No,No,Cats,vanilla,5,Washington,West Coast,Elliott smith,Red,Pod Market,Fall,Yes,Yes,Yes,Neutral,Somewhat Negative,Geology,Physical Sciences
Eat out,Salty,around once a month,Dinner,1,1,32,0,12.0,3,0,4.0,Prerequisite,12.0,0.0,3.0,14,3,Star Wars 6,No,10.0,8,None of the above,"Yes, but once or only a few times","Yes, but once or only a few times",No,Dogs,chocolate,5,Washington,West Coast,Batushka,Green,Burrito King,Summer,Yes,No,No,Neutral,Very Negative,Nursing,Health Sciences
Order in,Salty,rarely/never,Breakfast,15,8,21,6,12.0,1,20,5.0,Major,6.0,,,1,1,,No,10.0,18,None of the above,No,"Yes, but once or only a few times","Yes, but once or only a few times, No",Cats,chocolate,7,Washington,West Coast,MJ lenderman,Green,Artzen Atrium,Summer,Yes,No,Yes,Neutral,Somewhat Negative,Biology,Life Sciences
